State,Total Observations,Unique Species,Top Species,Top Species Count,Avg Observations per Month,Avg Observations per Year,Spring Observations,Summer Observations,Fall Observations,Winter Observations,Latitude Range Min,Latitude Range Max,Longitude Range Min,Longitude Range Max
Arizona,2992,64,Gryllodes sigillatus,674,249.33333333333334,136.0,566,1191,1006,229,31.3341416667,36.9815975137,-114.80105098,-109.0504761148
California,13652,65,Gryllodes sigillatus,4272,1137.6666666666667,568.8333333333334,3123,3812,4791,1926,32.4142296733,41.9780258889,-124.3410342119,-114.220449999
Colorado,1756,37,Oecanthus,449,146.33333333333334,103.29411764705883,260,829,634,33,37.0399829722,40.9737854004,-108.9381556772,-102.2799987793
Idaho,432,24,Oecanthus,135,36.0,36.0,76,157,191,8,42.05236723,48.3288879395,-117.0246113464,-111.0568
Kansas,962,52,Gryllus pennsylvanicus,138,80.16666666666667,45.80952380952381,80,389,486,7,37.0218834225,39.9891709722,-101.9594720091,-94.6080277778
Montana,177,19,Gryllus veletis,39,14.75,19.666666666666668,24,85,62,6,45.0133,48.9660063915,-115.45588817,-104.0569534167
Nebraska,708,45,Gryllus pennsylvanicus,130,59.0,50.57142857142857,56,315,336,1,40.0352166667,42.9363907109,-104.0307059289,-95.5789515004
Nevada,3380,139,Trimerotropis pallidipennis,812,281.6666666666667,153.63636363636363,727,1595,996,62,35.104743,41.9512930687,-120.0023888833,-114.0489888333
New Mexico,1087,50,Gryllus,335,90.58333333333333,77.64285714285714,230,444,367,46,31.5189968094,36.980725,-109.1737955829,-103.1121716129
North Dakota,117,16,Gryllus pennsylvanicus,43,9.75,10.636363636363637,0,71,45,1,46.089050293,48.9861251517,-103.8607253965,-96.7752949
Oklahoma,1874,64,Gryllus,374,156.16666666666666,98.63157894736842,419,700,696,59,33.7235184355,36.9569158333,-103.002030545,-94.4872366667
Oregon,7085,131,Melanoplus,1028,590.4166666666666,308.04347826086956,287,4643,2144,11,41.9932616756,46.2276873949,-124.5112583333,-116.56736667
South Dakota,198,24,Gryllus pennsylvanicus,46,16.5,14.142857142857142,19,99,77,3,42.5377783333,45.8137741089,-103.8434765115,-96.4601728321
Texas,21543,121,Gryllus,5698,1795.25,861.72,6177,5052,8757,1557,25.848275,36.2327766418,-106.6348349201,-93.5580417728
Utah,6157,125,Melanoplus differentialis,939,513.0833333333334,267.69565217391306,682,3436,2010,29,36.9990815,41.9852600098,-114.0784562903,-109.0206256551
Washington,633,30,Oecanthus,109,52.75,45.214285714285715,145,261,218,9,45.5596366667,48.9735133333,-124.3209533333,-117.0027828396
Wyoming,1942,112,Acrididae,221,161.83333333333334,84.43478260869566,117,1307,509,9,41.0030280583,44.9936015197,-111.0433273315,-104.0730138333
